ID,Nome Atual,Caminho Completo,Novo Nome (preencher)
299,Acessório Pessoal,Uso Pessoal > Acessório Pessoal,""
109,Lisas,Uso Pessoal > Lisas,""
110,Filigrana,Uso Pessoal > Filigrana,""
118,Anéis,Uso Pessoal > Lisas > Anéis,""
119,Alianças,Uso Pessoal > Lisas > Alianças,""
120,Medalhas,Uso Pessoal > Lisas > Medalhas,""
121,Alfinetes,Uso Pessoal > Lisas > Alfinetes,""
115,Fios,Uso Pessoal > Lisas > Fios,""
122,Berloques,Uso Pessoal > Lisas > Berloques,""
123,Terços,Uso Pessoal > Lisas > Terços,""
116,Pulseiras,Uso Pessoal > Lisas > Pulseiras,""
117,Brincos,Uso Pessoal > Lisas > Brincos,""
106,Molduras,Decoração > Molduras,""
265,Cabanillas,Decoração > Cabanillas,""
201,Guarda Jóias,Decoração > Guarda Jóias,""
202,Bibelots,Decoração > Bibelots,""
203,Rosas E Perfumadores,Decoração > Rosas E Perfumadores,""
204,Anjos,Decoração > Anjos,""
205,Relógios,Decoração > Relógios,""
208,Mesa E Talheres,Decoração > Mesa E Talheres,""
206,Tabuleiros E Salvas,Decoração > Tabuleiros E Salvas,""
107,Copos,Decoração > Copos,""
207,Vidros E Cristal,Decoração > Vidros E Cristal,""
108,Jarras,Decoração > Jarras,""
180,Moldura,Criança > Moldura,""
181,Porta Chupeta,Criança > Porta Chupeta,""
182,Caixa Chupeta,Criança > Caixa Chupeta,""
183,Talheres E Acessórios,Criança > Talheres E Acessórios,""
184,Mealheiros,Criança > Mealheiros,""
185,Caixa De Música,Criança > Caixa De Música,""
186,Candeeiros E Luzes De Presença,Criança > Candeeiros E Luzes De Presença,""
187,Caixa De 1º Dente,Criança > Caixa De 1º Dente,""
188,Medalha De Berço,Criança > Medalha De Berço,""
190,Carrosséis,Criança > Carrosséis,""
191,Guizos,Criança > Guizos,""
192,álbum,Criança > álbum,""
193,Diversos,Criança > Diversos,""
209,Molduras,Casamento E Bodas > Molduras,""
210,álbuns,Casamento E Bodas > álbuns,""
211,Vidros E Cristal,Casamento E Bodas > Vidros E Cristal,""
212,Guarda Joias,Casamento E Bodas > Guarda Joias,""
213,Salvas E Placas,Casamento E Bodas > Salvas E Placas,""
214,Moldura,Batismo E Nascimento > Moldura,""
215,Concha,Batismo E Nascimento > Concha,""
216,Velas,Batismo E Nascimento > Velas,""
217,Medalhas,Batismo E Nascimento > Medalhas,""
218,álbuns,Batismo E Nascimento > álbuns,""
219,Acessórios,Batismo E Nascimento > Acessórios,""
220,Molduras,Comunhão E Crisma > Molduras,""
221,Caixa De Terços E Rosário,Comunhão E Crisma > Caixa De Terços E Rosário,""
222,álbuns,Comunhão E Crisma > álbuns,""
223,Acessórios,Comunhão E Crisma > Acessórios,""
224,Cruzes Pulseiras E Terços,Comunhão E Crisma > Cruzes Pulseiras E Terços,""
301,Velas,Comunhão E Crisma > Velas,""
225,Cruzes De Madeira,Artigo Religioso > Cruzes De Madeira,""
226,Imagens Religiosas,Artigo Religioso > Imagens Religiosas,""
227,Terços E Dezenas,Artigo Religioso > Terços E Dezenas,""
228,Alianças,Artigo Religioso > Alianças,""
229,Medalhas De Santos,Artigo Religioso > Medalhas De Santos,""
230,Estatuetas,Artigo Religioso > Estatuetas,""
196,Natal,Ocasião Especial > Natal,""
197,Dia Dos Namorados,Ocasião Especial > Dia Dos Namorados,""
198,Páscoa,Ocasião Especial > Páscoa,""
199,Dia Da Mãe,Ocasião Especial > Dia Da Mãe,""
200,Dia Do Pai,Ocasião Especial > Dia Do Pai,""
303,Moldura Cabanillas,Moldura Prata > Moldura Cabanillas,""
167,Moldura Perestrelo,Moldura Prata > Moldura Perestrelo,""
178,Redonda,Moldura Prata > Moldura Perestrelo > Redonda,""
177,Quadrada,Moldura Prata > Moldura Perestrelo > Quadrada,""
176,Rectangular,Moldura Prata > Moldura Perestrelo > Rectangular,""
179,Oval,Moldura Prata > Moldura Perestrelo > Oval,""
366,Quadrada,Moldura Prata > Moldura Cabanillas > Quadrada,""
367,Redonda,Moldura Prata > Moldura Cabanillas > Redonda,""
368,Rectangular,Moldura Prata > Moldura Cabanillas > Rectangular,""
369,Oval,Moldura Prata > Moldura Cabanillas > Oval,""
166,Uso Pessoal,Uso Pessoal,""
365,Moldura Prata,Moldura Prata,""
170,Casamento E Bodas,Casamento E Bodas,""
172,Comunhão E Crisma,Comunhão E Crisma,""
171,Batismo E Nascimento,Batismo E Nascimento,""
169,Criança,Criança,""
168,Decoração,Decoração,""
173,Artigo Religioso,Artigo Religioso,""
302,Fim De Curso,Fim De Curso,""
174,Ocasião Especial,Ocasião Especial,""
298,Escrita,Escrita,""
231,Novidades,Novidades,""
232,Outlet,Outlet,""
